,Unnamed: 0,Symbol,Name,Buy,Analyst,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,agora_pred
78,78,BE,Bloom Energy Corporation Class A Common Stock,1,Buy,,,3.44,-0.14,0.2,-0.12,0.74,6.38,0.13,
79,79,BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),1,Buy,,,,0.04,0.76,58.27,0.32,1.93,,
80,80,BEP,Brookfield Renewable Partners L.P. ,1,Buy,,,0.67,-0.11,0.19,17.82,0.64,2.09,0.0,
81,81,BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,1,Buy,,,,-0.69,-0.17,4.31,0.78,2.38,,
82,82,BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share,1,Buy,,,0.38,-0.07,-0.46,1.86,0.26,2.09,,
83,83,BFAM,Bright Horizons Family Solutions Inc. Common Stock,1,Buy,0.49,0.15,,,,,,,,
84,84,BFS,Saul Centers Inc. Common Stock,1,Buy,,,,,,,,,,
85,85,BG,Bunge Limited Bunge Limited,1,Buy,-0.02,0.14,0.58,0.04,7.71,45.82,0.89,3.37,0.03,1.0
86,86,BHLB,Berkshire Hills Bancorp Inc. Common Stock,1,Buy,,,,,,,,,,
87,87,BKD,Brookdale Senior Living Inc. Common Stock,1,Buy,,,1.82,-0.13,-0.99,3.31,0.93,7.11,0.06,
88,88,BKU,BankUnited Inc. Common Stock,1,Buy,,,,,,,,,,
89,89,BLL,Ball Corporation Common Stock,1,Buy,-0.0,0.1,0.5,0.07,4.18,11.14,0.87,6.34,0.04,1.0
90,90,BNED,Barnes & Noble Education Inc Common Stock,1,Buy,,,2.45,-0.09,0.43,4.97,0.74,4.48,0.05,
91,91,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,1,Buy,,,0.83,0.32,6.4,56.97,0.55,2.65,,
92,92,BOX,Box Inc. Class A Common Stock,1,Buy,,,1.3,-0.04,1.02,-1.0,0.83,3.21,0.08,
93,93,BP,BP p.l.c. Common Stock,1,Buy,,,0.83,0.04,3.79,23.32,0.09,1.02,,
94,94,BR,Broadridge Financial Solutions Inc.Common Stock,1,Buy,,,,,,,,,,
95,95,BRC,Brady Corporation Common Stock,1,Buy,,,,,,,,,,
96,96,BRMK,Broadmark Realty Capital Inc. Common Stock,1,Buy,,,,0.73,0.99,8.74,0.5,5.0,0.03,
97,97,BRO,Brown & Brown Inc. Common Stock,1,Buy,,,,0.2,2.27,14.54,0.73,1.29,0.02,
98,98,BRT,BRT Apartments Corp. (MD) Common Stock,1,Buy,,,,,,,,,,
99,99,BRX,Brixmor Property Group Inc. Common Stock,1,Buy,,,,,,,,,,
100,100,BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,1,Buy,,,0.95,0.3,0.86,28.41,0.07,2.41,,
101,101,BSIG,BrightSphere Investment Group Inc. Common Stock,1,Buy,,,,,,,,,,
102,102,BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,1,Buy,,,0.73,0.24,3.97,27.5,0.06,0.7,,
103,103,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),1,Buy,,,1.42,0.11,3.29,34.65,0.04,2.0,,
104,104,BV,BrightView Holdings Inc. Common Stock,1,Buy,,,,,,,,,,
105,105,BXMT,Blackstone Mortgage Trust Inc. Common Stock,1,Buy,,,1.37,0.75,2.51,26.79,0.54,4.44,0.04,
106,106,BXP,Boston Properties Inc. Common Stock,1,Buy,0.12,0.02,1.21,0.12,2.8,36.6,1.0,7.64,0.04,1.0
107,107,BY,Byline Bancorp Inc. Common Stock,1,Buy,,,1.38,0.28,1.6,21.17,0.44,2.11,0.01,
108,108,BZH,Beazer Homes USA Inc. Common Stock,1,Buy,,,2.07,0.04,3.41,22.4,0.82,5.47,0.06,
109,109,CABO,Cable One Inc. Common Stock,1,Buy,0.0,0.06,,,,,,,,
110,110,CADE,Cadence Bancorporation Class A Common Stock,1,Buy,,,1.82,0.46,1.77,17.83,0.93,3.37,0.03,
111,111,CAE,CAE Inc. Ordinary Shares,1,Buy,,,,,,,,,,
