,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
100,NKE,0.4559084745762712,0.36617,0.48830003,0.853804,3335707.0,0.08902001,,3.94,7.551,12814828.0,0.0081,2.139,0.83775,0.0029,1614470400.0,1653955200.0,2.1,210615615488.0,0.711,14212341.0,0.013200001,2.34,1
101,JMIA,0.5020225,0.1914,0.0,3.69218,3640897.0,-1.01165,,-1.69,5.493,15041918.0,0.1526,-1.856,0.27788,0.00049,1617148800.0,1672444800.0,2.07,2030402304.0,,13454143.0,,,1
102,MS,0.392445,0.2048266666666666,0.1831,1.541349,6336269.0,0.24555999,,7.0,52.709,17561753.0,0.0094,7.645,0.66651,0.20633,1617148800.0,1672444800.0,2.02,-31172003840.0,1.426,14038944.0,0.0119,2.17,1
103,KO,0.6124749999999999,0.2451,0.88769996,0.62937,9650316.0,0.22188,,2.36,4.722,28462020.0,0.0066000004,1.67,0.69003,0.00638,1625184000.0,1672444800.0,2.32,272789815296.0,0.485,25366495.0,0.0066000004,2.45,0
104,EBAY,0.3209366666666666,0.1905882352941176,0.20729999,1.089295,5216884.0,1.12829,,4.52,5.536,30651243.0,0.047199998,4.123,0.94222,0.0383,1625011200.0,1672444800.0,4.01,41799766016.0,13.389,27589254.0,0.047199998,1.45,1
105,FSR,0.6324700000000002,0.4086999999999999,0.0,,5602381.0,0.0,,,,36592200.0,0.123900004,,0.46382,0.03356,1617148800.0,1672444800.0,2.41,4715144704.0,,40272249.0,0.231,-0.04,0
106,NKLA,0.31634,0.2596857142857142,0.0,,8254144.0,0.0,,,,55628018.0,0.1412,,0.20775999,0.56209,1617148800.0,1672444800.0,4.51,6072474112.0,,62189188.0,0.1717,-0.58,1
107,BYND,0.47314,0.2611545454545455,0.0,1.61423,1162505.0,-0.19583,,-0.22,4.191,12571424.0,0.1993,-1.31,0.52131003,0.108839996,1617408000.0,1672444800.0,2.41,9314710528.0,,12269050.0,0.2369,26.39,0
108,CVX,0.3663575000000001,0.2764,,1.31936,7867087.0,-0.081020005,,6.27,68.403,14071091.0,0.0073,-4.124,0.67687,0.00037999998,1617148800.0,1672444800.0,1.43,248039833600.0,-0.617,22845451.0,0.0073,-3.08,1
109,SHOP,0.77018,0.3476888888888889,0.0,1.450779,648211.0,0.63647,,4.99,73.531,1575800.0,0.0126,12.788,0.7066,0.00287,1625011200.0,1672444800.0,1.12,178204606464.0,23.421,1690427.0,0.024400001,7.61,1
110,CMCSA,0.5670575,0.3324235294117647,0.35819998,1.03604,11856746.0,0.114379995,,3.69,20.151,68301598.0,0.0149,2.53,0.85319,0.00666,1625011200.0,1672444800.0,5.57,366114406400.0,0.251,72898390.0,0.015,0.99,1
111,TME,0.4317283333333333,0.0629727272727272,0.0,1.026315,12558545.0,0.1286,,0.57,31.126,20251626.0,0.012,0.385,0.59216,0.09757,1625011200.0,1672444800.0,1.08,-3845170176.0,-0.119,21580254.0,,5.99,1
112,RCL,0.469975,0.1752599999999999,0.0,2.848369,2816085.0,0.0,,1.97,36.036,10186402.0,0.04,-24.619,0.67704004,0.14093,1617148800.0,1672444800.0,2.75,38296588288.0,,10823831.0,0.044299997,-0.08,0
113,MA,0.4642099999999999,0.1440142857142857,0.2515,1.17519,3436072.0,0.42376998,,10.43,6.378,4220485.0,0.0043,6.518,0.77617997,0.11066,1617148800.0,1672444800.0,1.24,393037086720.0,0.08,6690641.0,0.0047999998,1.66,0
114,SDC,0.4287225,0.1293947368421052,0.0,,32208275.0,-0.09372,,-0.2,3.439,33536113.0,0.0865,-1.115,0.66923,0.02365,1625011200.0,1672444800.0,6.92,793894016.0,,28543962.0,0.3209,-0.3,0
115,SKLZ,0.4577325,0.2578625,0.0,,10903383.0,-0.59405,,,,73180610.0,0.1846,,0.50753,0.15827,1617148800.0,1672444800.0,2.25,7931756032.0,,45328261.0,0.2486,,1
116,ETSY,0.3610675,0.3162799999999999,0.0,1.548913,1814110.0,0.23459,,3.74,5.393,7134212.0,0.0561,3.521,0.85510004,0.0062599997,1617148800.0,1672444800.0,1.97,22496339968.0,10.481,6542036.0,0.0634,1.27,1
117,EXPR,0.4431750000000001,0.3611,0.0,1.849836,7645599.0,-0.2211,,-0.04,0.149,6397325.0,0.096499994,-6.274,0.59724,0.02852,1619827200.0,1675036800.0,0.32,1344559872.0,,6152960.0,0.098900005,0.12,0
