,Recent headlines and conversations for NKE,Polarity
282,This isnt the first time Ginsburg broke ribs while falling.Does she do a belly flop when she trips? lol,0.36
283,I USED TO WEAR NOTHING BUT NIKE'S AND SHORT SKIRTS WHEN I CUT LOOSE.....NOW I JUST WEAR SHORT SKIRTS,-0.8719
284,"LOL THEY HAVE DRUG DEALERS MORE CREDIBLE THAN FORD, EVEN DUMOCRATS ARE STARTING TO DOUBT HER",0.6216
285,Sideways at BEST for the next few months. Dead money for now,0.2315
286,"Check out the NFL ratings! 2,470,000 less viewers than last years opener! 13% decline in viewership. Nike is going down. NFL is going down.",0.3219
287,"LOOKS LIKE BOOKER LIKES HEAD, DEMOCRATIC CALLING ASSAULT - FBI PLEASE INVESTIGATE !!https://100percentfedup.com/anonymous-gay-democrat-male-accuses-corey-booker-of-sexual-assault-only-3-years-agowill-spartacus-demand-an-fbi-investigation/",0.2138
288,University of Alabama just dropped Nike ! I just read that on Facebook for what it is worth,0.404
289,QUICK GUYS STOOGE IS ON IT'S 15 MINUTE BREAK,-0.2779
290,why hire a failed NFL QB?,0.2977
291,DOWNGRADED...!!! Wait until after the Holidays!!!,0.5903
292,OLD PICS OF WARREN JUST SURFACED ROFLMAO,0.6574
293,"As the new leader of Nike, do you think Kap is going to market the ""pig socks"" that he wore a couple of years ago? That would send a great leadership message to our children!",0.8137
294,"What do you think about when listening to the national anthem?? The sacrifices of our soldiers and their families sacrices.Take a stand against the national anthem. You take a stand against them, the United States of America, and myself!",0.6672
295,NIKE'S NEW SLOGAN! JUST PAY FOR IT! HAHAHAHHAHAA,0.2549
296,Glad I don't own this,0.3885
297,"next support levels 73, 71.50 then crashing to 52 week low. Hi PE, unsettled market, disgruntled customers and rising rates will/are weighing on stock price.",0.7203
298,I don't typically trade on emotion - But Nike is a Strong Sell at whatever price.,0.6624
299,Turn the lights out Mr Knight. Americans will stop buying the overpriced tennis shoes.,0.3863
300,there she goes into the red,0.0638
301,Run the Kap ad again. Where’s your backbone Nike?,0.269
302,Sales increased due to the Dennison-worshipers buying NIKE gear to burn in their backyards to show undying allegiance to the Emperor.,0.6898
303,I got great news today. Two of my snowflake lib relatives are moving from Florida and moving back to libtard east headquarters NYC! They just gave Republicans a +2 in Florida and essentially neutralized their vote in the Peoples Republic of NY. Early Christmas present!,0.9752
304,"OBOMBA IS CORRECT....RARE, NO? It will take more than one election to finally defeat all these demrats and get the real change we desperately need.",-0.7661
305,down a billion dollars already....lol. I wonder how much they pay krappanick,-0.2869
306,Taking orders from fat nose. Buh bye.,-0.3111
307,Twits Tweet and our Twit Tweets a lot. Bigly. Believe me.,0.1746
308,OUCH.....WHAT HAPPENED to NKE? I guess the millennials had to sell their 1 share to buy some more nike products. LOL,0.8092
309,okay this add really got some people riled up BUT where do you guys think NIKE is going as a stock from here,0.768
310,Wish I bought more calls today,0.4596
311,"Just down $3? The impact of trade war was largely muted in past. If NIKE raises product prices in future, it will loss in competitive market. If not, the $84 stock price is way too rich. The reality will catch up.",0.2616
312,Another nice day for Nike. Down about 10% since the anti American kneeler commercial.,0.0302
313,"""""Ratings Crash for NBA, MLB After Protest-Filled Debuts""""-- pay attention NIKE Inc. (NKE) --> W O K E = BROKE ---",-0.7671
314,"Nike will bounce back but I still seeing it going down until this virus stops affecting operations. Nike has their hands in too many important markets with strong followers. NBA, Football, American Football, and Gen Z is eating their shoes up with every limited release.",0.9307
315,"-3.00%! Break out the champagne, boys. lol",0.5877
316,"Nike stock keeps going up and UP. They make great shoes (AIR MAX Sequent 4 Utility ) and I just keep buying and buying Nike shoes all the time with my feet issues improving, as I walk a great deal. Time to buy NIKE stock as it appears a win-win also. On a decent pull back, my wife and I are IN.",0.9763
317,be patient if you wanna see it go down,0.1208
318,I don't buy from Nike anymore as well! Never ever! This is a goner. Nice one time metoo publicity trick. Lets see sales in 1 year.,0.7085
319,79 PE? Still cheaper then most tech stocks. Do we reach $175 by end of 21?,0.4867
320,CHINESE LIVES MATTER stop using slave labor,-0.4926
321,Great idea higher a millionaire spokesman who hates America and complains he is oppressed while your company is selling sneakers made by Chinese workers living in poverty. New Balance and Assics are high quality and made by American workers making a living wage in AMERICA. The only market for Nikes will be the criminals who support the nfl and are likely to shoplift the shoes.,-0.491
322,Short this stock to 000000,-0.3261
323,Isn't everyone going to buy new sneakers with their $1400? Why are we going down today?,0.2092
324,"Taking the boycott one step further, you have to wonder if people who are upset, don't just not buy the products, but go to their local retailer and say....hey you stand with Nike I'm just not going to purchase anything from your store. So it has broader implications.",0.5016
325,REALLY HARRY IM WHITE CESAR LOOKS MEXICAN,0.1838
326,"Nike boasting 31% increase in online sales. I heard that online sales are only 6% to total sales. I and my family will never buy another nike product. I think this is a short back to $50's. Of course the upgrade came out, wallstreet needs price to remain high so they can exit positions quietly.",0.8111
327,"Is $JILL super cheap? At $45 million market cap, it seems like $M could buy them for next to nothing.$NKE $WMT",0.7446
328,markets as red as JacksNewClitty's posterior after unkle pappy getz hold to hit,-0.2575
329,bulls =,0.0
330,Michael Jordan is walking away from Nike... that's going to hurt the company for sure.,-0.1956
331,POOR KAEPERNICK NIKE DOESN'T EVEN WANT HIM ANYMORE,-0.4973
332,New York stock Exchange CEO sells all stock and has his senator wife do the same.,0.7548
333,lower and lower revenues ahead,-0.6074
334,Been shorting since 82...hopefully it crashes like Colin’s career,0.4111
335,Never Nike!!!!!,0.3122
336,Done with Nike and the NFL,0.3974
337,I would liked to have been in that boardroom when that Idea was pitched so I could have fired the presenter...wow. Must have been Friday when half the people had already left. NIKE ..not good idea.,0.4381
338,SELL SELL SELL,0.2073
339,Just SHORT it!,-0.5761
340,"I didn't watch any NFL but heard there were no Nike ads with Kap in them, is this true???",0.5014
341,NKE is way over valued.Kraepernik burst the bubble!!,-0.4876
342,"I am done with Nike. I would only wear Nike and my kids were only allowed to wear Nike. These self imposed rules were even since I was under contract with Nike during my NFL days...a looooonnng time ago. I will never buy another Nike product and am planning on donating my Nike shoes and clothing. I even stuck with Nike all these years as their quality continued to decline refusing to wear anything else. Bad choice Nike, didn't you learn anything from the NFL debacle.",-0.4195
343,NKE the most toxic brand and stock in the world. Short NKE and make gobs of money. It's really just that simple and that easy.,-0.5436
344,There are millions just like me ! If you think this is not going to effect sales you are delusional. Go buy under armour,0.6395
345,"how many full term births did the Democrats chop up and sell the parts off during the superbowlZeroHow many little spermz did you dump into the sink thinking of Tim Brady at halftime, karl?",-0.0103
346,The stock is up $1.79 since they announced the kneelers commercial and liberals act like they just hit the jack pot. Trust me liberals. There actually are a lot better stocks out there gaining a lot more than 2% over a 2 week span. lmao,0.9687
347,"Wonder how many Tutes will hold this stock prior to the earnings report. Nike is scrambling right now on how to get their revenues up by spending more on marketing expenses and failed innovations. Look at their new light up shoes. Actually, that would benefit the police officers, it will make them see the urban criminals much easier running at night time. LOL LOL",0.9293
348,SO THE REPUBLICANS WON IN FLORIDA NOW THE DUMOCRATS GOT THE RECOUNT WANTED IF DUMOCRATS WIN FROM THE RECOUNT CAN REPUBLICANS DEMAND A THIRD RECOUNT I SAY YES,0.9142
349,Nike takes a knee for China !What would kapernick say ? https://www.bloomberg.com/news/articles/2019-10-24/pence-says-nike-s-china-behavior-checks-conscience-at-the-door,0.3863
350,I thought somebody on this board said NKE was only down because Dow was down....,-0.012
351,"NFL under Roger Goodell looking to sign 10 year $100,000,000,000 deal........how's that for 'equality'",0.6594
352,No more Nike products for me,-0.287
353,Just don't buy it...........nike,0.0086
354,Timbrrrrrrrr!!!!,0.0
355,I won't buy Nike until they get rid of kaepernick,-0.0929
356,Eventually Nike pays a price for its actions.,0.1204
357,Today Maria Butina “NO COLLUSION” court appearance. Her defense: She gave a head to get ahead !!!,0.6402
358,"Fonda, Keapernick, Nike.",0.0
359,"Even Michael Jordan understood basic business, don't screw with half of your customer base. Jordan said ""Republicans buy sneakers too""",0.3168
360,"WHY SENS will dominate DEXOM in 3 years.""I have to say I have been a long time believer in this Company and have been dumbfounded on why it has taken till now to finally be realized for its value. I am a Biomedical Scientist who helped to found FibroGen, Inc and I feel SENS has more to offer in the long run. Very important technology and an enormous market that needs this type of continuous monitoring. I was a speaker at a Juvenile Diabetes Medical Meeting in Dallas Tx in 1981 and the physicians were praying for something like the SENS technology to help Diabetics become healthier and safer. Now it is here and with future work to couple the sensors with a pump to deliver the correct amount of insulin you will have the dream that has been the Holy Grail for Diabetic Therapy for 45 years. I am happy to have found such a great company and I think they should go to $100 and beyond.",0.9931
