Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CCOI,Cogent Communications Holdings Inc.,$72.63,0.68,0.945%,3461954780.00,United States,,113884,Consumer Services,Telecommunications Equipment
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,$20.93,0.09,0.432%,773607104.00,United States,2001,242640,Technology,Professional Services
CCXI,ChemoCentryx Inc. Common Stock,$15.91,0.49,3.178%,1112164765.00,United States,2012,1366176,Health Care,Biotechnology: Pharmaceutical Preparations
CDEV,Centennial Resource Development Inc. Class A Common Stock,$5.51,0.27,5.153%,1539446212.00,United States,2016,9387120,Energy,Oil & Gas Production
CDLX,Cardlytics Inc. Common Stock,$92.81,1.62,1.777%,3066452795.00,United States,2018,171583,Technology,EDP Services
CDW,CDW Corporation Common Stock,$196.77,-1.22,-0.616%,27054982451.00,United States,2013,603680,Technology,EDP Services
CEMI,Chembio Diagnostics Inc. Common Stock,$2.66,-0.04,-1.481%,76136656.00,United States,,1806570,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CFB,CrossFirst Bankshares Inc. Common Stock,$12.34,-0.08,-0.644%,629191587.00,United States,2019,53832,Finance,Commercial Banks
CFLT,Confluent Inc. Class A Common Stock,$65.15,-0.36,-0.55%,16965713845.00,United States,2021,913315,Technology,EDP Services
CFMS,Conformis Inc. Common Stock,$1.76,0.21,13.548%,327291680.00,United States,2015,8380524,Health Care,Medical/Dental Instruments
CGNX,Cognex Corporation Common Stock,$87.87,0.50,0.572%,15527258501.00,United States,1989,563260,Capital Goods,Industrial Machinery/Components
CHMG,Chemung Financial Corp Common Stock,$45.31,-0.69,-1.50%,211254703.00,United States,,3219,Finance,Major Banks
CHNG,Change Healthcare Inc. Common Stock,$21.74,-0.03,-0.138%,6758135228.00,United States,2019,995152,Health Care,Managed Health Care
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$89.13,0.73,0.826%,11739467921.00,United States,1997,1536493,Transportation,Oil Refining/Marketing
