,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
1140,0.08,0.1,1.73,0.03,0.97,10.29,0.97,5.8,0.04,Buy
1145,0.09,0.19,1.32,-0.03,1.19,0.73,0.77,4.3,0.22,Buy
1147,0.09,0.19,1.52,0.05,0.76,0.54,0.29,1.35,0.02,Buy
1148,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1157,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1167,0.09,0.19,1.37,0.0,-1.81,3.21,0.7,3.93,0.03,Buy
1171,0.09,0.19,1.73,0.0,-0.5,2.37,0.18,2.94,0.06,Buy
1180,0.09,0.19,1.66,0.0,-0.58,0.9,0.21,2.71,0.01,Buy
1183,0.09,0.19,2.4,-1.72,-0.21,1.95,0.32,4.05,0.06,Buy
1188,0.09,0.19,0.75,0.31,2.87,29.08,0.57,2.05,0.01,Buy
1196,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1199,0.04,0.05,1.61,0.22,3.54,4.2,0.91,5.59,0.09,Buy
1201,0.09,0.19,1.73,0.0,-1.9,1.14,0.02,0.19,0.06,Buy
1202,0.23,0.29,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1203,0.09,0.19,1.73,-0.16,0.3,-9.77,0.36,3.88,0.07,Buy
1213,-0.0,0.1,1.31,-0.5,-2.76,20.71,0.9,8.66,0.07,Buy
1239,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1249,0.09,0.19,1.79,0.05,0.37,2.88,0.61,0.94,0.02,Buy
1253,0.09,0.19,1.73,-0.16,-0.23,4.54,0.93,4.87,0.04,Buy
1254,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1256,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1258,0.09,0.19,2.39,0.05,1.34,7.29,0.89,7.41,0.19,Buy
1263,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1272,0.09,0.19,1.73,0.51,2.03,13.26,0.34,2.35,0.01,Buy
1275,0.09,0.19,1.73,0.0,-2.63,4.81,0.65,1.7,0.01,Buy
1282,0.09,0.19,1.27,0.47,3.9,138.41,0.4,1.16,0.06,Buy
1284,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1285,0.27,-0.01,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1292,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1293,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1296,0.09,0.19,1.08,-1.62,-3.23,5.06,1.07,5.06,0.1,Buy
1300,0.09,0.19,1.0,-0.16,-0.51,138.26,0.62,7.83,0.06,Buy
1301,0.09,0.19,1.73,-0.07,0.35,2.61,0.5,2.13,0.03,Buy
1307,0.09,0.19,1.73,-0.11,0.19,4.57,0.42,1.55,0.04,Buy
1308,0.09,0.19,0.82,-0.26,0.17,6.53,0.12,0.9,0.02,Buy
1314,0.09,0.19,1.73,0.0,-2.06,5.6,0.51,0.71,0.0,Buy
1332,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1344,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1349,0.09,0.19,1.44,0.55,-1.24,0.84,0.95,7.32,0.05,Buy
1356,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1360,0.09,0.19,1.52,0.11,1.72,8.32,0.65,7.3,0.15,Buy
1363,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1370,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1374,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1384,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1386,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1394,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1396,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1402,0.09,0.19,1.73,0.0,-0.18,-0.13,0.05,2.09,0.06,Buy
1409,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1410,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1418,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1428,0.09,0.19,1.64,-0.03,1.24,9.12,0.93,7.79,0.08,Buy
1429,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1435,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1436,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1440,0.09,0.19,1.73,0.0,-1.93,2.63,0.77,0.65,0.13,Buy
1442,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1447,0.09,0.19,1.73,0.4,4.46,37.59,0.73,3.84,0.01,Buy
1448,0.09,0.19,1.73,0.0,-2.5,1.17,0.55,5.82,0.04,Buy
1473,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1479,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1486,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1491,0.09,0.19,1.26,0.25,1.89,-4.36,0.01,0.13,0.06,Buy
1496,0.09,0.19,1.3,0.25,0.59,1.87,0.99,6.64,0.09,Buy
1497,0.09,0.19,0.5,0.0,-1.27,1.3,0.51,9.15,0.18,Buy
1500,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1504,0.09,0.19,1.38,0.04,2.19,17.71,0.65,5.36,0.02,Buy
1508,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
1509,0.09,0.19,1.89,0.06,2.57,6.13,0.77,6.42,0.26,Buy
