,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
63,BRKR,0.0807317073170731,0.2959545454545454,0.103199996,1.270742,603219.0,0.10488,1.192102,2.24,6.633,1254657.0,0.0083,1.552,0.70764,0.32755002,1625011200.0,1672444800.0,2.05,13163560960.0,1.39,1542022.0,0.020299999,2.61
64,BRP,0.0799308510638297,0.3907115384615386,0.0,,2228095.0,-0.021370001,0.3884176,1.14,8.258,1276563.0,0.0128,-0.221,0.93614,0.17947,1625011200.0,1672444800.0,4.11,2460776192.0,,1140156.0,0.0275,1.2
65,BRY,0.229726605504587,0.4046571428571429,,514.41235,529607.0,-0.23152,,0.8,8.597,1068668.0,0.013300001,-2.113,0.96112,0.013409999,1625011200.0,1672444800.0,2.51,812378368.0,,836259.0,0.0198,1.63
66,BSRR,0.2654785714285715,0.4510692307692307,0.2982,1.243141,34330.0,0.30849,,2.62,22.828,152864.0,0.0099,2.531,0.55847,0.09993,1625011200.0,1672444800.0,3.83,99552936.0,0.41,152227.0,0.011,1.14
67,BSVN,0.0033509433962264,0.4968428571428572,0.192,2.134338,3759.0,0.44465,,2.3,12.347,11471.0,0.0013,2.1,0.19384001,0.71432996,1625011200.0,1672444800.0,1.56,8709020.0,0.212,13235.0,0.01,
68,BUSE,-0.0077370967741935,0.2347166666666666,0.39130002,1.076385,102900.0,0.31702998,,2.15,23.292,452554.0,0.008,2.241,0.48923,0.08486,1625011200.0,1672444800.0,2.86,1053231168.0,0.153,441520.0,0.0086,1.76
69,BWEN,0.5577465384615379,0.2950071428571428,0.0,1.330434,141850.0,-0.02,,0.14,2.482,1531386.0,0.0805,-0.22,0.42108002,0.14062001,1617148800.0,1672444800.0,4.21,119907856.0,,1834025.0,0.096099995,0.59
70,BYND,0.3646654545454548,0.3022500000000001,0.0,1.61423,2242520.0,-0.19583,,-0.22,4.191,12571424.0,0.1993,-1.31,0.52131003,0.108839996,1617408000.0,1672444800.0,2.41,9314710528.0,,12269050.0,0.2369,26.26
71,CAC,0.1173742424242424,0.4431333333333334,0.2784,0.983324,35885.0,0.37686002,,4.01,35.645,346720.0,0.0232,4.371,0.67294997,0.028280001,1625011200.0,1672444800.0,8.66,824560384.0,0.658,395088.0,0.0238,
72,CAKE,0.5053395833333331,0.2580222222222222,0.0,1.756858,827853.0,-0.00935,,3.15,6.82,5650219.0,0.1083,-3.239,0.813,0.06767,1624924800.0,1672272000.0,3.88,4155651584.0,,5364543.0,0.1367,-1.91
